graph_source,init_strategy,graphname,optimal_expectation,optimal_parameters,optimal_gamma,optimal_beta,initial_parameters,initial_gamma,initial_beta,num_layers,num_qubits,num_interactions,sim_time,n_restarts,mean_n_obj_calls,gamma_std_across_restarts,beta_std_across_restarts,graph_id,model,exact_maxcut,n,m,deg_mean,clust_mean,mis,assortativity,approx_ratio
known,static_conjecture,gnm_10,15.86623587311577,"[2.384344364759124, 2.028455069256771, 2.015785723987065, 2.228394221352883, 1.9850089822075323, 0.7965068165428943, 1.3024518820757927, 1.151736963164512, 1.0082933787892228, 0.7273494499217256]",2.384344364759124,0.7965068165428943,"[2.01974004 2.01974004 2.01974004 2.01974004 2.01974004 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.019740043632358,0.8620742360644783,5,11,31,5.678219795227051,1,795.0,0.0,0.0,10,gnm,23,11,31,5.6364,0.484,0.2727,-0.0896,0.6898363423093813
known,static_conjecture,barabasi_11,5.851008728828674,"[2.4934524716461097, 1.655505073311373, 3.137071846317755, 2.4406427108310647, 2.4558992365442687, 1.712144758092006, 3.141331423264031, 1.5094593163493346, 1.3412213036063316, 1.806228383341421]",2.4934524716461097,1.712144758092006,"[2.20232017 2.20232017 2.20232017 2.20232017 2.20232017 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.202320171604711,0.8620742360644783,5,8,7,0.7447078227996826,1,1127.0,0.0,0.0,11,barabasi,7,8,7,1.75,0.0,0.625,-0.5867,0.8358583898326677
known,static_conjecture,barabasi_12,13.127196362682293,"[2.782245467716006, 1.7245463535876309, 2.4166922367836827, 3.04575783459185, 1.6231262688123156, 1.3171536712877316, 2.2287852789886458, 1.939210171213679, 2.2626298470606736, 0.5039036070440751]",2.782245467716006,1.3171536712877316,"[1.93834438 1.93834438 1.93834438 1.93834438 1.93834438 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.938344381313132,0.8620742360644783,5,16,15,8.980254173278809,1,1432.0,0.0,0.0,12,barabasi,15,16,15,1.875,0.0,0.625,-0.2698,0.8751464241788195
known,static_conjecture,watts_13,18.71146599316926,"[1.6399746813753984, 1.8031412249444878, 1.9562288906391714, 2.2068133525645752, 1.5208975292813367, 0.4800706645288908, 2.88435382356532, 1.6946484010639644, 1.62404804138642, 0.20181305152642948]",1.6399746813753984,0.4800706645288908,"[1.54166667 1.54166667 1.54166667 1.54166667 1.54166667 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.541666666666667,0.8620742360644783,5,14,28,9.518539905548096,1,1258.0,0.0,0.0,13,watts,21,14,28,4.0,0.3714,0.3571,-0.2473,0.8910221901509171
known,static_conjecture,watts_14,11.828497376127867,"[1.2496208418154562, 2.3785854207804626, 1.4752964011466991, 3.1322612923645323, 1.4801477196908408, 0.1912293406894267, 1.9349453247766855, 0.5162581746097459, 2.738254742021637, 0.819859063293513]",1.2496208418154562,0.1912293406894267,"[1.54166667 1.54166667 1.54166667 1.54166667 1.54166667 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.541666666666667,0.8620742360644783,5,15,15,13.168691873550417,1,2546.0,0.0,0.0,14,watts,14,15,15,2.0,0.1111,0.4667,-0.1471,0.844892669723419
known,static_conjecture,regular_15,16.531202989402054,"[2.897728252031172, 2.1939644696613816, 1.7166660616460068, 2.159353338297382, 2.311997799937636, 0.14957627743497143, 2.3004105055784567, 1.4157269494646945, 1.5835258950831705, 0.6683726209280009]",2.897728252031172,0.1495762774349714,"[1.97142857 1.97142857 1.97142857 1.97142857 1.97142857 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.971428571428571,0.8620742360644783,5,12,24,2.821950674057007,1,836.0,0.0,0.0,15,regular,18,12,24,4.0,0.3333,0.3333,0.0,0.9184001660778919
known,static_conjecture,barabasi_16,14.867766653250602,"[2.840491766027259, 2.81044299779023, 2.0540653404115496, 1.4603549823436732, 2.77956213542702, 0.7407909627534588, 1.7599963388488846, 1.5888301307727632, 1.1844911471387598, 0.16679753926620267]",2.840491766027259,0.7407909627534588,"[1.92736296 1.92736296 1.92736296 1.92736296 1.92736296 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.9273629648283384,0.8620742360644783,5,19,18,8.726437330245972,1,1548.0,0.0,0.0,16,barabasi,18,19,18,1.8947,0.0,0.6316,-0.4088,0.8259870362917001
known,static_conjecture,gnm_17,48.00549761576671,"[2.352235211596949, 2.4582497289875604, 2.2540010878061265, 2.476304950187073, 2.919669205440628, 0.797004922493454, 1.5687828598590126, 0.7816520694123843, 0.3166083650930599, 1.1080863011890099]",2.352235211596949,0.797004922493454,"[2.3475892  2.3475892  2.3475892  2.3475892  2.3475892  0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.347589195892364,0.8620742360644783,5,15,89,17.19169020652771,1,991.0,0.0,0.0,17,gnm,54,15,89,11.8667,0.8384,0.2,-0.0595,0.8889906965882723
known,static_conjecture,gnm_18,62.71663626573306,"[2.555708650918985, 2.528860060841758, 2.637540621445431, 2.2311635136538612, 2.456856438355126, 0.7333988691812587, 3.0039449408226973, 2.37187669848111, 1.578836455807956, 0.7818897311242965]",2.555708650918985,0.7333988691812587,"[2.50028142 2.50028142 2.50028142 2.50028142 2.50028142 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.500281420389196,0.8620742360644783,5,18,125,17.57241415977478,1,596.0,0.0,0.0,18,gnm,75,18,125,13.8889,0.8283,0.1667,-0.1312,0.8362218168764408
known,static_conjecture,watts_19,13.57082987090378,"[1.6334391377746, 1.2180474401979973, 2.434232926688349, 1.3796598643338671, 1.7529174873330708, 0.8941746921298437, 1.9022782109803553, 0.4414303851100778, 1.3394543515791821, 1.2509251957038239]",1.6334391377746,0.8941746921298437,"[1.57079633 1.57079633 1.57079633 1.57079633 1.57079633 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.5707963267948966,0.8620742360644783,5,17,17,6.812009572982788,1,1455.0,0.0,0.0,19,watts,16,17,17,2.0,0.0,0.5294,-0.242,0.8481768669314862
