graph_source,init_strategy,graphname,optimal_expectation,optimal_parameters,optimal_gamma,optimal_beta,initial_parameters,initial_gamma,initial_beta,num_layers,num_qubits,num_interactions,sim_time,n_restarts,mean_n_obj_calls,gamma_std_across_restarts,beta_std_across_restarts,graph_id,model
known,static_conjecture,watts_467,14.444801813154672,"[1.1743827714808175, 1.9096224714659595, 0.15639528941915634, 3.0029139881552123, 1.586288892899372, 1.383658111698563, 2.5891143514801853, 2.1627027964551684, 2.055273613262088, 0.1390656963742071]",1.1743827714808175,1.383658111698563,"[1.54166667 1.54166667 1.54166667 1.54166667 1.54166667 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.541666666666667,0.8620742360644783,5,11,22,12.675370931625366,1,1244.0,0.0,0.0,467,watts
known,static_conjecture,regular_468,11.793712995544816,"[0.6894374498483082, 2.787988339021477, 0.9533796219746635, 1.7565492670414482, 0.8290686362670272, 1.7040398982456701, 2.9012976511935626, 2.412178440825948, 2.6832040214694444, 1.3603193923881771]",0.6894374498483082,1.7040398982456701,"[1.35020243 1.35020243 1.35020243 1.35020243 1.35020243 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.3502024291497978,0.8620742360644783,5,10,15,25.47663164138794,1,2174.0,0.0,0.0,468,regular
known,static_conjecture,barabasi_469,12.857175716369216,"[1.7670293467560612, 2.6696218814987507, 1.6548192095397005, 3.048689296415769, 1.573343021171514, 1.2811707481963817, 2.1841706321913232, 1.612887192969242, 1.900207208726546, 0.8026106614372359]",1.7670293467560612,1.2811707481963817,"[1.54449958 1.54449958 1.54449958 1.54449958 1.54449958 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.5444995848675187,0.8620742360644783,5,12,20,9.988847732543945,1,823.0,0.0,0.0,469,barabasi
known,static_conjecture,barabasi_470,11.224102196224434,"[1.8251495770362536, 1.544883677318853, 1.8787744577725822, 2.3510074886158714, 1.5733736284457347, 0.7264954207932872, 2.252357527036179, 1.2610081670648938, 1.1587036124673324, 0.4274632147261951]",1.8251495770362536,0.7264954207932872,"[1.55102041 1.55102041 1.55102041 1.55102041 1.55102041 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.5510204081632653,0.8620742360644783,5,14,13,9.382133483886719,1,955.0,0.0,0.0,470,barabasi
known,static_conjecture,watts_471,12.187516353204344,"[2.9517402623186495, 2.909584824814727, 1.4888844507421377, 1.4899388700812746, 1.662389368794237, 0.43787747113431696, 3.1415482242401076, 2.813921773965823, 1.8457233533962538, 0.3073403609903619]",2.9517402623186495,0.43787747113431696,"[1.63924033 1.63924033 1.63924033 1.63924033 1.63924033 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.6392403283850654,0.8620742360644783,5,9,18,13.91093921661377,1,1179.0,0.0,0.0,471,watts
known,static_conjecture,barabasi_472,7.465440334092733,"[3.1415897633926937, 2.7562255824882422, 3.141590483292824, 2.4427296990176215, 2.132941942278699, 0.9319553688993751, 2.5845190445315254, 0.9111706381271243, 1.8054985583279342, 1.4173868941402614]",3.1415897633926937,0.9319553688993751,"[2.21419442 2.21419442 2.21419442 2.21419442 2.21419442 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.2141944239970557,0.8620742360644783,5,10,9,5.538297176361084,1,1043.0,0.0,0.0,472,barabasi
known,static_conjecture,watts_473,7.10258934017719,"[1.7922609155904552, 0.9987005259937077, 1.4978052938476112, 2.924369506076705, 1.1656749063490777, 1.640878858849248, 2.031529770801253, 1.8327102904708719, 1.3424214266727577, 0.21276369648853896]",1.7922609155904552,1.640878858849248,"[1.48824786 1.48824786 1.48824786 1.48824786 1.48824786 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.4882478632478633,0.8620742360644783,5,9,9,9.248356342315674,1,1258.0,0.0,0.0,473,watts
known,static_conjecture,regular_474,5.999896122190301,"[3.132482718790718, 2.058511124545414, 3.074878153066278, 2.498793815898317, 1.8088482814944318, 1.2624115206885822, 2.6772135167194975, 1.8135036521180483, 0.6477746327063141, 1.123455361287685]",3.132482718790718,1.2624115206885822,"[1.56614833 1.56614833 1.56614833 1.56614833 1.56614833 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.5661483253588515,0.8620742360644783,5,7,7,6.909745454788208,1,1172.0,0.0,0.0,474,regular
known,static_conjecture,gnm_475,40.923793174989676,"[3.050422842509724, 2.413857775510254, 2.2479680310724968, 2.2420328659242577, 2.2995633886743443, 0.587504165507971, 1.57063251093547, 0.9233801339505932, 1.5707495785012604, 0.3044576096767192]",3.050422842509724,0.587504165507971,"[2.24962072 2.24962072 2.24962072 2.24962072 2.24962072 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.2496207241853257,0.8620742360644783,5,18,71,18.126879930496216,1,656.0,0.0,0.0,475,gnm
known,static_conjecture,gnm_476,32.335313502632275,"[2.149892987406691, 1.9984256480487494, 2.2888933141845227, 2.716643099371774, 2.022469964916336, 1.5722448035772096, 1.5712155233999725, 1.4060742596915285, 1.8118398283005428, 1.5675903241840818]",2.149892987406691,1.5722448035772096,"[2.07791143 2.07791143 2.07791143 2.07791143 2.07791143 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.0779114279909416,0.8620742360644783,5,15,54,17.366788625717163,1,840.0,0.0,0.0,476,gnm
