graph_source,init_strategy,graphname,optimal_expectation,optimal_parameters,optimal_gamma,optimal_beta,initial_parameters,initial_gamma,initial_beta,num_layers,num_qubits,num_interactions,sim_time,n_restarts,mean_n_obj_calls,gamma_std_across_restarts,beta_std_across_restarts,graph_id,model
known,static_conjecture,barabasi_40,42.75655391976921,"[3.038362072289181, 3.1388046971085, 2.941825932780243, 2.9050418903360242, 2.874211675667079, 0.4897851447392388, 3.1296975395021516, 1.9438944295968463, 1.8103808181801992, 0.15266994498777703]",3.038362072289181,0.4897851447392388,"[2.82025253 2.82025253 2.82025253 2.82025253 2.82025253 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.820252525252526,0.8620742360644783,5,20,64,22.49933910369873,1,1365.0,0.0,0.0,40,barabasi
known,static_conjecture,regular_41,18.798365002658848,"[1.7403191957725972, 2.7179066424385336, 2.118026339977556, 3.141570378228275, 3.0274372533258243, 0.18790164462710868, 1.4008802047527054, 0.9686240969565763, 1.289016384979561, 0.6804001971233675]",1.7403191957725972,0.18790164462710868,"[3.14159265 3.14159265 3.14159265 3.14159265 3.14159265 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",3.141592653589793,0.8620742360644783,5,16,24,7.618966579437256,1,1258.0,0.0,0.0,41,regular
known,static_conjecture,gnm_42,51.15996407383558,"[2.942599343788081, 1.614931186366609, 2.36612535241808, 2.3162847260136985, 2.397224366213539, 1.120255379207439, 2.3624927566008425, 0.7768385419688211, 1.5708289158236357, 0.7913385984283866]",2.942599343788081,1.120255379207439,"[2.25582846 2.25582846 2.25582846 2.25582846 2.25582846 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.2558284612262396,0.8620742360644783,5,19,87,11.356303930282593,1,672.0,0.0,0.0,42,gnm
known,static_conjecture,watts_43,7.005659671755609,"[1.60396371638869, 2.9897377112345067, 1.8698296742693912, 2.5160885571185654, 1.0725492294999444, 0.5942513296123104, 1.7723837676155942, 1.337707907380064, 1.7498157192083614, 1.3770856886789349]",1.60396371638869,0.5942513296123104,"[1.47857312 1.47857312 1.47857312 1.47857312 1.47857312 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.4785731244064577,0.8620742360644783,5,9,9,2.7266345024108887,1,1486.0,0.0,0.0,43,watts
known,static_conjecture,barabasi_44,6.108355793262717,"[2.7552666569088675, 1.2846239525131877, 3.1390516324940174, 2.9937946197953353, 2.78878693787551, 1.8977494917989022, 1.473251184304227, 2.6189067406023625, 2.1508054299006893, 1.2329853221078326]",2.7552666569088675,1.8977494917989022,"[2.20232017 2.20232017 2.20232017 2.20232017 2.20232017 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.202320171604711,0.8620742360644783,5,8,7,1.8228466510772705,1,1102.0,0.0,0.0,44,barabasi
known,static_conjecture,regular_45,6.892700760028674,"[1.7944744756218944, 2.0428823375290843, 2.0843856545387016, 1.5707336011032536, 1.6081900578242312, 0.49942874756811817, 2.8230915845906166, 1.2246259003722155, 1.802149245192629, 0.7268676827019498]",1.7944744756218944,0.49942874756811817,"[1.75020243 1.75020243 1.75020243 1.75020243 1.75020243 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.7502024291497977,0.8620742360644783,5,6,9,2.100278854370117,1,1001.0,0.0,0.0,45,regular
known,static_conjecture,barabasi_46,11.275740576675998,"[1.1747559181147111, 0.31924643448769574, 1.2273115442340896, 3.14029132254138, 0.9532917273749086, 1.3728362416161868, 3.1392667643666288, 1.4514792786136097, 1.9612017917582718, 1.3381095303738677]",1.1747559181147111,1.3728362416161868,"[1.55555556 1.55555556 1.55555556 1.55555556 1.55555556 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.5555555555555556,0.8620742360644783,5,15,14,2.546670913696289,1,644.0,0.0,0.0,46,barabasi
known,static_conjecture,watts_47,6.440409334470061,"[2.477097589720037, 2.229315532435341, 1.233548334582733, 2.484388495565628, 0.7126365052615753, 1.387429362425583, 1.7824086245823616, 2.2809544069071164, 1.763212352131845, 1.4400360728275916]",2.477097589720037,1.387429362425583,"[1.53033274 1.53033274 1.53033274 1.53033274 1.53033274 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.5303327429149798,0.8620742360644783,5,8,8,4.603407859802246,1,1250.0,0.0,0.0,47,watts
known,static_conjecture,barabasi_48,26.54060330419949,"[2.9653588607746073, 3.140656355716731, 1.8830646622968419, 3.127786007669773, 1.8070510898492897, 1.7975781992787518, 3.13899825172063, 2.4949106924059503, 2.3702179427794023, 1.3634116146511621]",2.9653588607746073,1.7975781992787518,"[1.78806141 1.78806141 1.78806141 1.78806141 1.78806141 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.7880614099472232,0.8620742360644783,5,17,42,11.414092779159546,1,1093.0,0.0,0.0,48,barabasi
known,static_conjecture,barabasi_49,6.330999699005588,"[2.886025300103219, 1.7845263543498668, 1.5758529130443262, 2.400848054919008, 2.6133971909286218, 0.552889700133022, 3.0620129174004367, 1.5052038574121778, 1.8877008571714349, 0.2340405671263504]",2.886025300103219,0.552889700133022,"[2.20232017 2.20232017 2.20232017 2.20232017 2.20232017 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.202320171604711,0.8620742360644783,5,8,7,3.3533947467803955,1,1995.0,0.0,0.0,49,barabasi
known,static_conjecture,watts_50,8.679535196456792,"[2.0382534180677725, 1.6964894470755922, 1.5868646494673366, 1.789107735475989, 2.679905665245007, 1.367741073734305, 2.2777336230328666, 1.7800264574272737, 1.2596850727905893, 0.7203971362830063]",2.0382534180677725,1.367741073734305,"[1.46995192 1.46995192 1.46995192 1.46995192 1.46995192 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.4699519230769231,0.8620742360644783,5,10,10,7.245014429092407,1,1954.0,0.0,0.0,50,watts
known,static_conjecture,regular_51,12.447722745600501,"[3.1298869628297323, 1.9515328884365317, 2.476116568976514, 2.244417625872642, 1.127840786271035, 0.5520280124890106, 2.8008068784672795, 2.5750379790288873, 1.7186282814536948, 0.6712249935329542]",3.1298869628297323,0.5520280124890106,"[1.53632918 1.53632918 1.53632918 1.53632918 1.53632918 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.5363291750727188,0.8620742360644783,5,14,14,5.606999635696411,1,1099.0,0.0,0.0,51,regular
known,static_conjecture,barabasi_52,14.192391872769619,"[1.9456923033751932, 2.4231020347456003, 1.707942363308475, 2.7806952218488865, 2.0506493889960655, 1.4907568485225393, 1.580562830713427, 2.0088021339774498, 1.8327355319034426, 1.4890909182759398]",1.9456923033751932,1.4907568485225393,"[1.64436241 1.64436241 1.64436241 1.64436241 1.64436241 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.6443624106562704,0.8620742360644783,5,12,20,10.63716721534729,1,1617.0,0.0,0.0,52,barabasi
known,static_conjecture,barabasi_53,9.55706316673202,"[0.9949202566925239, 1.8098129340402522, 2.4641945571172577, 1.6734822186238976, 1.57087249044126, 1.4867872774208046, 1.9436218181146505, 1.1427156033969426, 1.3990831646208752, 0.6356622504684857]",0.9949202566925239,1.4867872774208046,"[1.56203704 1.56203704 1.56203704 1.56203704 1.56203704 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.5620370370370371,0.8620742360644783,5,12,11,4.623307704925537,1,944.0,0.0,0.0,53,barabasi
known,static_conjecture,gnm_54,5.2745064717692,"[0.5304135848701301, 3.132626681746795, 3.1329221718994242, 2.9819559682031698, 2.249826121046488, 3.1383102316274174, 0.6654550549897611, 1.2376124197576408, 0.9841188847776379, 1.7151075309080261]",0.5304135848701301,3.1383102316274174,"[1.85651061 1.85651061 1.85651061 1.85651061 1.85651061 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.8565106125091821,0.8620742360644783,5,6,7,2.33150053024292,1,1428.0,0.0,0.0,54,gnm
known,static_conjecture,barabasi_55,18.269926988569864,"[1.7690470987389944, 2.6691577017928756, 1.5370848259063847, 2.738255933380261, 1.5611774367208984, 1.416078084563829, 2.280804777074234, 2.714291427834606, 2.3696364468821165, 0.7370817428972183]",1.7690470987389944,1.416078084563829,"[1.5890873  1.5890873  1.5890873  1.5890873  1.5890873  0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.5890873015873015,0.8620742360644783,5,16,28,11.215113401412964,1,1517.0,0.0,0.0,55,barabasi
