n,deg_mean_r,clust_mean_r,mis_r,count,gamma1_std,gamma2_std,beta1_std,beta2_std,gamma1_mean,gamma2_mean,beta1_mean,beta2_mean,approx_mean,models
11,2.0,0.0,0.454,6,0.8795230218575378,0.4165188184423861,1.1365478673032612,0.5436297978130973,1.563565819876347,2.1267824061512597,1.64302638944772,1.9288072398680771,0.8639360472618022,"['regular', 'watts']"
11,2.0,0.0,0.546,3,0.5416940194613565,0.4813621292429193,0.6760607639199762,0.6080462304678035,0.24804148155741523,2.7313367635641335,2.6711318851608126,1.5965817782548797,0.7847788129424901,['watts']
11,2.0,0.197,0.546,2,0.1854610309016702,0.338991814398184,0.7489745991691633,0.6150487909286244,0.4899627642481252,2.6146278202720494,2.4021962914747776,1.3770679828208143,0.8393471609917087,['watts']
11,4.0,0.467,0.273,2,7.527017541794958e-05,0.0013916314984012456,0.00016947576187750457,0.00012317342257248354,2.925625644283018,2.1076835861399243,1.837900489781369,1.4152592729103814,0.8696297530176973,['watts']
12,1.833,0.0,0.5,4,0.9670664665978658,0.5938482590966032,1.0900728532509378,0.6694877234170801,1.1995708560418954,2.231358441793967,1.5020216604768135,2.0570622247058012,0.7859525180030114,['barabasi']
12,1.833,0.0,0.583,3,0.6333496095864594,0.5580230334607789,0.3656378149395532,0.024248083279034393,1.690872888315844,2.117326498763958,1.6576394125526874,1.2846065609697412,0.7473084981829432,['barabasi']
12,2.0,0.0,0.417,2,1.1100855380190768,0.000380836782203416,1.1108805807172597,0.0006156904186354177,1.7112526534650507,1.8934379750961687,2.0337842038434495,2.2153193967945426,0.8333342363756518,['regular']
12,2.0,0.0,0.5,5,0.7048705593682038,0.5259953445629185,0.8150151909443822,0.3492434820077826,0.696682166141066,2.2208470639046562,2.65877455133176,2.16095367866114,0.7793578719691556,['watts']
12,2.0,0.139,0.5,3,0.8474291940280269,0.3136094699077671,1.0388943223602025,0.5670913025351455,1.5255682418786725,2.5337483967783827,0.8811205898682667,1.5306660820165217,0.7067834911084224,['watts']
12,3.0,0.083,0.417,2,0.16788821395358403,0.5243148266009677,0.7252465002114823,0.6345450971172523,3.022712770592837,1.5023456321742745,2.624420519452221,2.400813829254493,0.805867609490328,['regular']
