stratum,target,rank,formula,touches,support
model=watts_size=medium(n≤15),approx_ratio,3,((((5/13) · (deg_mean)²) + ((-26/11) · deg_mean)) + 4) ≤ approx_ratio,0,80
model=watts_size=medium(n≤15),approx_ratio,4,(((1/13) · deg_mean) + ((3/19) · √(deg_mean))) ≤ approx_ratio,0,80
model=watts_size=medium(n≤15),approx_ratio,5,(((1/13) · deg_mean) + ((8/17) · √(mis))) ≤ approx_ratio,0,80
model=watts_size=medium(n≤15),mean_n_obj_calls,1,(((4 · (deg_mean)²) + (4 · deg_mean)) + 4) ≤ mean_n_obj_calls,0,80
model=watts_size=medium(n≤15),mean_n_obj_calls,2,((((12/19) · (m)²) + (4 · m)) + 4) ≤ mean_n_obj_calls,0,80
model=watts_size=medium(n≤15),mean_n_obj_calls,3,((((39/14) · (n)²) + (4 · n)) + 4) ≤ mean_n_obj_calls,0,80
model=watts_size=large(n≤20),optimal_gamma,1,(((-9/19) · n) + 4) ≤ optimal_gamma,0,89
model=watts_size=large(n≤20),optimal_gamma,2,(((-4 · (mis)²) + (-4 · mis)) + (23/11)) ≤ optimal_gamma,0,89
model=watts_size=large(n≤20),optimal_gamma,3,optimal_gamma ≤ (((9/19) · n) + (-4/5)),0,89
model=watts_size=large(n≤20),optimal_gamma,4,(((-2/15) · deg_mean) + ((-2/11) · √(deg_mean))) ≤ optimal_gamma,0,89
