graphname,p,restart_idx,gamma1,beta1,final_expectation,n_obj_calls
g002942,1,0,3.141592653589793,2.6942131564554623,-31.500006868667697,8
g002942,1,1,1.716386566345633,1.8307378693566538,-35.182847962341896,114
g002942,1,2,2.9956257220456832,0.2604042230999626,-35.18288125175172,62
g002942,1,3,3.141592653589793,2.9123724894905063,-31.500011574305972,11
g002942,1,4,3.141592653589793,2.4303867337038305,-31.499991071057593,7
g002942,1,5,0.1458857707851691,2.8810400278257053,-35.182882380215204,95
g002942,1,6,2.995725486132369,0.261085191388274,-35.18279569291286,52
g002942,1,7,0.1453591704044038,2.880637863010065,-35.18285475250241,110
g002942,1,8,1.9983970358343974,3.141592653589793,-31.500109672859253,14
g002942,1,9,-0.7528067977629231,3.141592653589793,-31.500101025034382,22
g002942,1,10,2.9958189464902203,1.8318935002975514,-35.182892415092454,132
g002942,1,11,3.141592653589793,2.764189390787171,-31.500010823085177,12
g002942,1,12,1.4252652631146558,1.3095978987216381,-35.18282435141012,54
g002942,1,13,2.9958837719235567,1.8316002878338535,-35.18289971506371,98
g002942,1,14,3.141592653589793,3.141592653589793,-31.499988734722137,11
g002942,1,15,2.995880841808141,0.260769276519042,-35.18287946755814,76
g002942,1,16,0.7014896138808947,0.8217830549859264,-31.20039198994224,3
g002942,1,17,1.716806241464978,1.8311078178204543,-35.18284563434423,73
g002942,1,18,1.4245093303162983,1.3098954731014918,-35.18283638021296,72
g002942,1,19,0.14617288491136837,1.3099450146238407,-35.182836628759986,72
g002942,1,20,3.141592653589793,2.8292290221317837,-31.5000102719423,8
g002942,1,21,1.7155104253569282,0.2603997730518637,-35.18265843538205,53
g002942,1,22,3.141592653589793,1.5420210059020096,-31.500017265690985,9
g002942,1,23,3.141592653589793,3.0582817064793373,-31.500010453921277,14
g002942,1,24,2.995921198480705,1.831488149004941,-35.182856558311414,88
g002942,1,25,1.509524420587462,3.141592653589793,-31.499976735889504,9
g002942,1,26,1.42492411323399,1.3096555003912185,-35.18284392203327,64
g002942,1,27,1.7166771658069224,1.831378320920341,-35.18284371977708,63
g002942,1,28,2.3423732414417313,0.00285466670369127,-31.50013321364895,132
g002942,1,29,2.9959029925538188,0.2608806560019359,-35.1828778199106,70
g002942,1,30,2.995171478623069,0.2601798247175513,-35.182839711429295,120
g002942,1,31,3.141592653589793,3.125140748033516,-31.500009542985936,8
g002942,1,32,3.141592653589793,3.141592653589793,-31.499988734722137,8
