graphname,optimal_expectation,optimal_parameters,optimal_gamma,optimal_beta,initial_parameters,initial_gamma,initial_beta,num_layers,num_qubits,num_interactions,sim_time,n_restarts,mean_n_obj_calls,gamma_std_across_restarts,beta_std_across_restarts,graph_id,model,n,m,deg_mean,deg_std,clust_mean,assortativity,mis,exact_maxcut,approx_ratio
gnm_31,11.315547325426792,"[1.8098764196472965, 2.9784385959023822, 2.5563484156289595, 1.7347786037124056]",1.8098764196472965,2.5563484156289595,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,10,21,0.4074523448944092,1,214.0,0.0,0.0,31,gnm,10,21,4.2,1.077,0.5267,-0.3835,0.4,15,0.7543698216951195
gnm_32,9.983289780717314,"[1.109687780686866, 2.2294976728751816, 1.581211178605983, 2.8632159081225907]",1.109687780686866,1.581211178605983,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,7,17,0.9211559295654296,1,543.0,0.0,0.0,32,gnm,7,17,4.8571,0.6389,0.7714,-0.2966,0.2857,12,0.8319408150597761
barabasi_33,21.003674827305453,"[1.3607707956752835, 2.812401394743127, 1.0574978101993815, 1.2808627270941395]",1.3607707956752837,1.0574978101993815,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,16,39,0.7728047370910645,1,155.0,0.0,0.0,33,barabasi,16,39,4.875,2.3684,0.3637,-0.3335,0.375,32,0.6563648383532954
watts_34,24.24283758359277,"[-0.05026670480537192, 2.9414976636457175, 3.1415911249166193, 1.9303205579208709]",-0.0502667048053719,3.1415911249166197,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,19,38,1.3026456832885742,1,241.0,0.0,0.0,34,watts,19,38,4.0,1.0761,0.2188,-0.1844,0.4211,30,0.808094586119759
barabasi_35,9.40050959559337,"[1.299759606516497, 2.41520628863324, 1.2059634617121529, 1.2641900077849892]",1.299759606516497,1.2059634617121529,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,13,12,0.2061352729797363,1,135.0,0.0,0.0,35,barabasi,13,12,1.8462,2.1428,0.0,-0.6763,0.6923,12,0.7833757996327808
barabasi_36,6.380431262348566,"[0.26878972970346704, 2.4991231222476076, 2.7876593064185, 1.8245478635963797]",0.268789729703467,2.7876593064185,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,9,8,0.2351646423339843,1,177.0,0.0,0.0,36,barabasi,9,8,1.7778,1.5476,0.0,-0.6391,0.6667,8,0.7975539077935707
watts_37,12.499997495953338,"[0.9259451974994721, 1.8933638800217802, 2.819174059070156, 2.2157678705884942]",0.925945197499472,2.819174059070156,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,15,15,0.2942745685577392,1,152.0,0.0,0.0,37,watts,15,15,2.0,0.0,0.0,0.0,0.4667,14,0.8928569639966669
barabasi_38,4.890914085320162,"[0.5628941300655683, 2.891551010724731, 1.8990715615652098, 0.8662318006895724]",0.5628941300655683,1.8990715615652096,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,7,6,0.388118028640747,1,400.0,0.0,0.0,38,barabasi,7,6,1.7143,0.6999,0.0,-0.6667,0.4286,6,0.8151523475533603
barabasi_39,11.493036350869328,"[2.017258747191349, 2.207477004158038, 1.942779350251751, 1.299204726901431]",2.017258747191349,1.942779350251751,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,16,15,0.2762758731842041,1,144.0,0.0,0.0,39,barabasi,16,15,1.875,1.4524,0.0,-0.5882,0.6875,15,0.7662024233912885
barabasi_40,37.92584374291679,"[0.19411582510257153, 1.9715102073543718, 2.806996738438084, 1.525292694287226]",0.1941158251025715,2.806996738438084,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,20,64,2.5377190113067627,1,238.0,0.0,0.0,40,barabasi,20,64,6.4,2.8,0.3732,-0.3084,0.4,47,0.8069328455939743
regular_41,18.146246324636728,"[1.9939839765739933, 1.3802829714754274, 2.797534880969783, 0.8325345821935553]",1.9939839765739933,2.797534880969783,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,16,24,0.9423561096191406,1,336.0,0.0,0.0,41,regular,16,24,3.0,0.0,0.0,0.0,0.375,22,0.8248293783925785
gnm_42,45.11815780318511,"[1.7279746056848913, 2.8757707199906957, 1.8917357547035127, 1.180056310545307]",1.7279746056848913,1.8917357547035127,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,19,87,2.670866012573242,1,249.0,0.0,0.0,42,gnm,19,87,9.1579,2.0069,0.5053,-0.0565,0.2105,58,0.7778992724687088
watts_43,6.976820377928075,"[0.5737324272619257, 2.879699851440553, 1.9185013034251748, 0.8838652558975512]",0.5737324272619257,1.9185013034251748,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,9,9,0.3076884746551513,1,260.0,0.0,0.0,43,watts,9,9,2.0,0.6667,0.1852,0.1562,0.4444,8,0.8721025472410093
barabasi_44,5.560681532389495,"[2.262193135664806, 1.5594378129825852, 0.3254736320098855, 2.801648678508774]",2.262193135664806,0.3254736320098855,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,8,7,0.1984272003173828,1,168.0,0.0,0.0,44,barabasi,8,7,1.75,1.0897,0.0,-0.5867,0.625,7,0.7943830760556422
regular_45,5.939223244087771,"[3.141592653589793, 1.8562262107023852, 3.100941622730977, 1.9192124238695514]",3.141592653589793,3.100941622730977,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,6,9,0.1568200588226318,1,112.0,0.0,0.0,45,regular,6,9,3.0,0.0,0.3333,0.0,0.3333,7,0.84846046344111
barabasi_46,11.062022403094272,"[2.8498217466511813, 0.7002402619045773, 1.9096366513941962, 1.319878547964412]",2.8498217466511813,1.909636651394196,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,15,14,0.5098268985748291,1,305.0,0.0,0.0,46,barabasi,15,14,1.8667,1.5434,0.0,-0.4818,0.6667,14,0.7901444573638765
watts_47,5.255196321046469,"[1.8233386386950872, 2.5666652605876568, -0.2658409463228646, 1.8358617451391432]",1.8233386386950872,-0.2658409463228646,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,8,8,0.1454489231109619,1,138.0,0.0,0.0,47,watts,8,8,2.0,0.5,0.2917,-0.0667,0.375,7,0.750742331578067
barabasi_48,24.323114697127004,"[1.913957346794376, 3.05937303864158, 1.26900688701221, 2.2389285248338204]",1.913957346794376,1.26900688701221,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,17,42,-1.3475606441497805,1,249.0,0.0,0.0,48,barabasi,17,42,4.9412,2.6451,0.5312,-0.3646,0.4118,32,0.7600973342852189
barabasi_49,5.150767825565708,"[1.5709536166797748, 1.9779435536054568, 2.377531685680861, 1.177715101664581]",1.5709536166797748,2.377531685680861,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,8,7,0.1519527435302734,1,112.0,0.0,0.0,49,barabasi,8,7,1.75,1.0897,0.0,-0.4933,0.625,7,0.7358239750808154
