graph_id,model,n,m,deg_mean,deg_std,clust_mean,assortativity,mis,exact_maxcut
910,barabasi,15,14,1.8667,1.5434,0.0,-0.3426,0.5333,14
911,barabasi,16,15,1.875,1.3636,0.0,-0.1827,0.5625,15
912,barabasi,10,9,1.8,2.0881,0.0,-0.8348,0.8,9
913,watts,11,22,4.0,1.0445,0.3182,0.0188,0.3636,17
914,barabasi,11,10,1.8182,1.7487,0.0,-0.6312,0.7273,10
915,regular,7,14,4.0,0.0,0.4286,,0.4286,12
916,gnm,11,41,7.4545,1.4374,0.7986,-0.1604,0.1818,28
917,watts,20,40,4.0,0.8367,0.3483,-0.1204,0.35,31
918,gnm,6,9,3.0,1.0,0.7333,-0.4545,0.5,7
919,gnm,6,12,4.0,1.0,0.9,-0.4545,0.3333,8
920,watts,6,6,2.0,0.8165,0.2778,-0.2,0.5,5
921,watts,14,28,4.0,1.1339,0.2143,-0.1909,0.4286,23
922,regular,14,21,3.0,0.0,0.1429,,0.3571,18
923,gnm,16,31,3.875,1.4948,0.2667,-0.1071,0.375,25
924,watts,17,17,2.0,0.4851,0.0,0.2031,0.4706,17
925,barabasi,19,48,5.0526,2.0124,0.2799,-0.067,0.3158,36
926,gnm,10,33,6.6,1.0198,0.715,-0.1541,0.2,22
927,regular,13,26,4.0,0.0,0.2692,,0.3077,20
928,regular,8,8,2.0,0.0,0.0,,0.5,8
929,watts,14,14,2.0,0.6547,0.0,-0.4933,0.5,13
930,gnm,16,22,2.75,1.25,0.2708,-0.1118,0.4375,18
931,gnm,15,95,12.6667,1.075,0.9015,-0.1605,0.2,56
932,watts,20,40,4.0,0.9487,0.2083,-0.2068,0.35,32
933,barabasi,9,8,1.7778,1.8725,0.0,-0.8195,0.7778,8
934,barabasi,7,6,1.7143,1.0302,0.0,-0.5,0.5714,6
935,watts,13,13,2.0,0.7845,0.1282,-0.4773,0.4615,12
936,watts,19,38,4.0,1.0761,0.2105,-0.1106,0.4211,32
937,gnm,11,18,3.2727,1.42,0.3424,-0.4636,0.4545,15
938,gnm,11,22,4.0,1.0445,0.3,-0.2911,0.3636,18
939,gnm,8,23,5.75,1.199,0.8774,-0.4138,0.375,15
940,watts,13,26,4.0,0.8771,0.4051,-0.1798,0.3846,20
941,gnm,7,12,3.4286,0.9035,0.6667,-0.2,0.2857,8
942,barabasi,7,6,1.7143,0.8806,0.0,-0.4483,0.4286,6
943,regular,11,11,2.0,0.0,0.0,,0.4545,10
944,barabasi,12,20,3.3333,1.6997,0.3992,-0.3435,0.4167,16
945,barabasi,8,7,1.75,1.3919,0.0,-0.7386,0.75,7
946,barabasi,18,17,1.8889,1.3699,0.0,-0.7417,0.5556,17
947,gnm,12,48,8.0,1.1547,0.6748,-0.2606,0.25,33
948,watts,14,28,4.0,0.9258,0.3786,-0.2767,0.2857,22
949,gnm,16,69,8.625,1.9325,0.5971,-0.1185,0.25,46
950,barabasi,20,19,1.9,1.1358,0.0,-0.4272,0.55,19
951,gnm,6,14,4.6667,0.4714,0.9333,-0.4,0.3333,9
952,regular,16,16,2.0,0.0,0.0,,0.4375,16
953,gnm,10,40,8.0,0.8944,0.8933,-0.2238,0.2,25
954,regular,14,28,4.0,0.0,0.1786,,0.3571,24
955,watts,13,26,4.0,0.9608,0.3,-0.017,0.3846,21
956,barabasi,19,18,1.8947,1.6188,0.0,-0.3423,0.5263,18
957,watts,8,16,4.0,0.7071,0.5625,-0.1613,0.25,11
958,gnm,13,70,10.7692,0.7994,0.8901,-0.1178,0.1538,42
959,regular,15,30,4.0,0.0,0.1667,,0.3333,24
960,barabasi,6,5,1.6667,0.4714,0.0,-0.25,0.5,5
961,barabasi,13,12,1.8462,1.2918,0.0,-0.5385,0.6154,12
962,watts,10,10,2.0,0.4472,0.0,-0.0526,0.5,10
963,gnm,11,16,2.9091,0.9,0.1061,0.1523,0.3636,14
964,gnm,19,110,11.5789,1.6324,0.6272,-0.1343,0.1579,70
965,barabasi,8,7,1.75,1.0897,0.0,-0.4933,0.5,7
966,gnm,12,42,7.0,1.472,0.6456,-0.0892,0.25,27
967,gnm,7,10,2.8571,1.2454,0.5905,-0.4583,0.4286,8
968,watts,11,11,2.0,0.603,0.0,0.175,0.4545,10
969,regular,11,22,4.0,0.0,0.2727,,0.3636,18
970,gnm,14,36,5.1429,1.807,0.3957,-0.2162,0.3571,27
971,regular,8,16,4.0,0.0,0.375,,0.25,12
972,gnm,11,32,5.8182,1.6414,0.6801,-0.193,0.2727,21
973,watts,11,22,4.0,1.0445,0.2545,-0.3799,0.4545,19
974,regular,16,24,3.0,0.0,0.1875,,0.3125,21
975,regular,11,11,2.0,0.0,0.0,,0.3636,10
976,watts,13,26,4.0,0.7845,0.441,-0.0335,0.3077,19
977,regular,14,21,3.0,0.0,0.0714,,0.4286,19
978,gnm,12,40,6.6667,0.9428,0.5663,-0.2037,0.25,27
979,barabasi,13,12,1.8462,1.4058,0.0,-0.4133,0.5385,12
980,gnm,8,24,6.0,0.7071,0.844,-0.2676,0.25,16
981,gnm,17,27,3.1765,1.1998,0.2373,0.0581,0.4118,22
982,regular,17,34,4.0,0.0,0.1471,,0.3529,28
983,regular,8,16,4.0,0.0,0.375,,0.375,12
984,gnm,7,6,1.7143,0.4518,0.0,-0.2,0.5714,6
985,watts,18,18,2.0,0.6667,0.0,-0.125,0.5,18
986,watts,19,38,4.0,1.0761,0.3088,-0.1183,0.3684,30
987,watts,19,19,2.0,0.7255,0.0877,0.1939,0.4211,18
988,watts,8,8,2.0,0.5,0.0,-0.6,0.5,7
989,gnm,8,11,2.75,0.9682,0.375,0.1149,0.375,9
990,barabasi,14,13,1.8571,1.5972,0.0,-0.5403,0.5714,13
991,regular,12,18,3.0,0.0,0.25,,0.4167,16
992,barabasi,14,24,3.4286,1.4983,0.3238,-0.1968,0.3571,20
993,gnm,16,82,10.25,1.854,0.7124,-0.1659,0.1875,51
994,watts,20,20,2.0,0.5477,0.0,-0.2613,0.5,20
995,barabasi,7,6,1.7143,1.0302,0.0,-0.5,0.5714,6
996,regular,13,26,4.0,0.0,0.1538,,0.3846,22
997,barabasi,16,15,1.875,1.7275,0.0,-0.4532,0.5,15
998,gnm,14,30,4.2857,1.7496,0.242,-0.3646,0.5,24
999,regular,17,34,4.0,0.0,0.1471,,0.3529,26
