graphname,optimal_expectation,optimal_parameters,optimal_gamma,optimal_beta,initial_parameters,initial_gamma,initial_beta,num_layers,num_qubits,num_interactions,sim_time,n_restarts,mean_n_obj_calls,gamma_std_across_restarts,beta_std_across_restarts,graph_id,model
watts_889,8.328266758228857,"[2.9047196372109534, 2.9030839154644807, 2.6510192429958392, 3.141592653589793, 0.06166722765110414, 1.9490551390007045, 0.2483783386515202, 2.5257864827033525, 3.1369467346062088, 2.4216001023261446]",2.9047196372109534,1.9490551390007045,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,10,10,3.0760276317596436,1,1833.0,0.0,0.0,889,watts
gnm_890,49.13406910015507,"[2.9581032116508745, 1.9083895714357504, 1.6148849911695526, 0.9987417313186417, 1.7753440329668968, 1.674742597943812, 1.6046434184877745, 2.9071850494956593, 3.1269835155566326, 1.7379826070631506]",2.9581032116508745,1.674742597943812,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,20,79,18.17881417274475,1,976.0,0.0,0.0,890,gnm
watts_891,9.075751048773032,"[2.8727559222145502, 2.621538662990495, 3.1405142420036913, 3.140243588363874, -0.5957809241309158, 0.5596718451825959, 1.9860161914920518, 3.1378028112686787, 3.1067924600627053, 1.7655609209695105]",2.8727559222145502,0.5596718451825959,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,11,11,3.0593154430389404,1,1598.0,0.0,0.0,891,watts
watts_892,10.723391009836757,"[0.5155361417685536, 2.864599740226529, 2.6798871357505254, 1.0601237400327697, 3.1291950114559937, 1.7631283092270453, 0.8824550159977202, 1.6479858384854946, 1.9121878077304404, 1.0573191466495762]",0.5155361417685536,1.7631283092270453,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,13,13,2.4999825954437256,1,992.0,0.0,0.0,892,watts
gnm_893,17.40275434990766,"[2.3464414971052463, 2.3937032700226286, 1.7328915770274391, 0.33080199083235023, 1.1819981667660253, 1.5599743588350308, 2.190637479109781, 2.719292772379093, 2.8898337010747075, 1.5466308941659386]",2.3464414971052463,1.5599743588350308,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,11,27,4.175972938537598,1,970.0,0.0,0.0,893,gnm
barabasi_894,6.628746918909997,"[2.8188919373588814, 3.141590965412556, 3.1414470147333047, 1.6999324494615244, 0.900197246651012, 1.103736077276296, 0.9474958863330136, 3.109636907242961, 3.1394003215040325, 1.8284950857933082]",2.8188919373588814,1.103736077276296,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,9,8,1.1728811264038086,1,748.0,0.0,0.0,894,barabasi
barabasi_895,16.525318222980207,"[2.8587943288676785, 1.7814238281153394, 1.4553369576288915, 1.5974416758344971, 2.0373711739182667, 1.2407613398161912, 1.419598336356649, 2.2283318343481113, 1.687103300231826, 1.3798657855967562]",2.8587943288676785,1.2407613398161912,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,14,24,7.402284622192383,1,1737.0,0.0,0.0,895,barabasi
barabasi_896,9.349313658213045,"[2.8244550331833485, 3.1415668771922047, 2.7741005034660304, 1.2884082265436718, 1.5824241352290538, 1.2715934218645608, 0.6740087782339665, 3.141560463988598, 2.9608164065981066, 1.7648440619448464]",2.8244550331833485,1.2715934218645608,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,12,11,1.8423800468444824,1,884.0,0.0,0.0,896,barabasi
watts_897,9.827148049764219,"[2.9460031992857054, 2.809813376895012, 1.4141928748557366, 2.134301812613305, 1.2729454483718818, 0.9223313347538535, 0.38518385963564683, 3.1409839436284237, 3.0766702530251417, 2.3481634890950915]",2.9460031992857054,0.9223313347538535,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,7,14,3.698537826538086,1,1660.0,0.0,0.0,897,watts
barabasi_898,24.208480183238997,"[3.136804261015111, 2.907070178331924, 2.140693954906105, 1.451181656741082, 0.3222735701620181, -2.8642533788053997, 1.7215809268578575, 3.139931781862975, 2.80598759683203, 1.3424743764436822]",3.136804261015111,-2.8642533788053997,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,19,34,7.919015407562256,1,1085.0,0.0,0.0,898,barabasi
watts_899,7.78754009060026,"[2.7976210493415907, 2.485698039480473, 1.665313847844485, 1.722968352152807, 1.3866113909150108, 1.0941643029387764, 0.6409734905135123, 2.9591200383192713, 3.07340472540425, 2.637047357231092]",2.7976210493415907,1.0941643029387764,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,7,14,2.1634461879730225,1,1231.0,0.0,0.0,899,watts
barabasi_900,8.099606874107717,"[2.866438666326784, 2.628441990519624, 3.1415808869486, 0.7913368180001978, 1.7893926363634591, 2.1594137303759147, 2.53521604832821, 0.9254772523295636, 3.0154779397649722, 1.7412883875405323]",2.866438666326784,2.1594137303759147,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,10,9,3.2731199264526367,1,1831.0,0.0,0.0,900,barabasi
barabasi_901,24.831077335151555,"[2.9527265162848093, 1.6345724715103143, 2.606507939954009, 3.1392179979490704, -0.625541319593507, 1.7751411512031243, -0.020318094781790134, 3.1352312358702674, 3.1374307837236155, 2.887403366114838]",2.9527265162848093,1.7751411512031243,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,16,39,10.756455183029175,1,1508.0,0.0,0.0,901,barabasi
gnm_902,17.23879294311736,"[2.9873670878993592, 1.2555521618799, 2.4102023936174684, 0.8352233489952552, 1.4303098172069486, 1.9598787194214164, 1.6369477382617694, 3.14154347579713, 3.019107343608577, 1.8020219598668814]",2.9873670878993592,1.9598787194214164,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,10,28,4.007754802703857,1,932.0,0.0,0.0,902,gnm
barabasi_903,23.6986760279583,"[2.9527580628357386, 1.8217954581978268, 1.8042534643759274, 1.5928510671996818, 1.4502645943382548, 1.7564709836021184, 1.7145508668875666, 2.001288741688917, 1.4737238287914551, 0.7747036921435742]",2.9527580628357386,1.7564709836021184,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,18,32,13.084679126739502,1,1985.0,0.0,0.0,903,barabasi
gnm_904,35.135491633952384,"[2.9510488857348793, 2.2429790777953844, 1.6755394356206927, 1.7578719431377934, 0.9950987812132412, 0.98798822165005, 1.147221139013141, 2.2417309319178798, 1.8810813227734506, -0.029820445502230425]",2.9510488857348793,0.98798822165005,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,15,67,15.889060497283936,1,1378.0,0.0,0.0,904,gnm
watts_905,5.540285902427854,"[2.5671720734812262, 2.4833221751481203, 2.362548795164816, -0.7632405426902108, 0.5726557589777794, 1.729023235138851, 1.5607462454123517, 3.141585127331036, 2.6988380877432405, 1.3269369876741108]",2.5671720734812262,1.729023235138851,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,7,7,1.205878496170044,1,857.0,0.0,0.0,905,watts
