n,deg_mean_r,clust_mean_r,mis_r,count,gamma1_std,gamma2_std,beta1_std,beta2_std,gamma1_mean,gamma2_mean,beta1_mean,beta2_mean,approx_mean,models
7,2.0,0.143,0.571,1,0.0,0.0,0.0,0.0,-0.35715659587785165,3.1355806752303614,3.141592653589793,1.9341690643135567,0.8179060402496058,['watts']
7,2.0,0.238,0.429,1,0.0,0.0,0.0,0.0,1.8031963169223082,2.9288223499962966,0.762818985310662,2.7075875291067337,0.6394288018927909,['watts']
7,2.0,0.238,0.571,1,0.0,0.0,0.0,0.0,-0.3595024946076394,3.1413641996746997,3.1352902497851347,1.9357960856949294,0.8204765284093204,['watts']
7,2.0,0.31,0.429,1,0.0,0.0,0.0,0.0,0.7567685506994257,1.9262547540172195,2.9391699372557127,1.9437111090106596,0.8618783787684757,['watts']
7,2.0,0.333,0.429,1,0.0,0.0,0.0,0.0,0.6291908474537574,2.848247319443474,1.9014335245450986,0.9281878794874643,0.8920148447712867,['watts']
7,2.286,0.333,0.429,1,0.0,0.0,0.0,0.0,1.2120019741905317,2.2546537446277055,-0.002776740912952245,2.797867361583748,0.7670574728938065,['gnm']
7,2.571,0.205,0.571,1,0.0,0.0,0.0,0.0,2.8238209851477487,1.9463483537160378,1.9483488896858687,3.1086186498878403,0.7636971789504514,['gnm']
7,2.857,0.59,0.429,1,0.0,0.0,0.0,0.0,2.9149610464693687,2.6586814734242328,1.9820815866260342,1.7939391204391901,0.8552597029580511,['gnm']
7,3.143,0.357,0.429,1,0.0,0.0,0.0,0.0,2.8722779785192833,2.194911576764981,1.9029928007610248,1.4997280801504838,0.7989932172398161,['gnm']
7,3.143,0.381,0.429,1,0.0,0.0,0.0,0.0,1.0307180083187681,1.8347291266695414,3.074290579346783,1.9313972250201494,0.78851425569802,['gnm']
7,3.429,0.438,0.429,1,0.0,0.0,0.0,0.0,2.8887521860073235,2.0194412528969092,1.887762278450231,1.6595213346687556,0.7539779337581421,['gnm']
7,3.429,0.652,0.429,1,0.0,0.0,0.0,0.0,2.9115145784310643,2.6870915060731964,1.9971948088640443,1.8317766746348068,0.9010283176487266,['gnm']
7,3.429,0.667,0.286,1,0.0,0.0,0.0,0.0,2.7871515609885877,1.6746692498677513,1.2161520121213196,2.2659843131482673,0.9788928314092118,['gnm']
7,3.429,0.795,0.429,1,0.0,0.0,0.0,0.0,2.94304960243094,2.7026605612603447,1.9761044600887991,1.7945696489002614,0.8767353647403474,['gnm']
7,3.714,0.619,0.286,1,0.0,0.0,0.0,0.0,2.959499691572948,2.7508903474980437,2.01892541005582,1.8105816964521118,0.8544299042769126,['gnm']
7,4.0,0.429,0.429,3,9.195063362099503e-05,0.00011591944463167391,0.00012293037475707944,0.000100093597688458,2.9250781104178607,2.7979250388376626,2.1027870805138518,1.9339496528727944,0.839484119500513,['regular']
7,4.0,0.5,0.286,7,0.04355011900458395,0.2583109569662908,0.715871975221228,0.00150121633172311,2.7510601203729315,1.955084983760878,1.9697720339373883,2.291867226941317,0.9033998793835053,"['watts', 'regular']"
7,4.0,0.529,0.429,1,0.0,0.0,0.0,0.0,1.8747921504141956,0.9918334255847636,2.9173993089315786,1.8526984127926944,0.8087923108031728,['watts']
7,4.0,0.538,0.286,2,0.0,0.0,0.0,0.0,1.3457730827927443,2.0769669747371213,1.7999587443695857,1.3088578348832882,0.8838822051166517,['watts']
7,4.0,0.571,0.429,1,0.0,0.0,0.0,0.0,2.9413298656769866,2.7637089571567417,2.018392521284973,1.84785533584021,0.932214887052396,['watts']
7,4.0,0.576,0.286,2,0.030946846926231376,0.5286062723498968,0.08670762641432925,0.1037249239470322,2.938224628634244,2.367292712686902,1.932621780962847,1.7382629081260939,0.885198225384147,['watts']
7,4.0,0.59,0.429,1,0.0,0.0,0.0,0.0,2.9019166574463346,2.2719362607025584,1.8806164081881038,1.669628051946363,0.8638469996395315,['watts']
7,4.0,0.605,0.429,1,0.0,0.0,0.0,0.0,2.906368568009257,2.008947226972979,1.8723911767795622,1.529377902763382,0.8490818913429393,['watts']
7,4.0,0.624,0.286,2,0.00026282598730623287,3.1547684273743334e-05,1.1112239470951695,0.0007205358619467897,1.6618529084401437,2.865305380645051,1.7100000365938222,2.427160143249794,0.7942473906558007,['watts']
7,4.0,0.657,0.286,1,0.0,0.0,0.0,0.0,1.9188789522032366,2.7096794368919523,1.1736435783002315,2.2090264313596535,0.765361730773293,['watts']
7,4.0,0.71,0.286,1,0.0,0.0,0.0,0.0,2.4489939414703232,0.9185751461281836,1.5654232422987895,2.843586475017026,0.8473473721620394,['watts']
7,4.0,0.719,0.286,1,0.0,0.0,0.0,0.0,1.812043976461377,1.0530583824124098,2.891290949193184,1.810721626822773,0.864958986674992,['watts']
7,4.0,0.733,0.286,1,0.0,0.0,0.0,0.0,1.7975421066932524,1.1397628793840977,1.8903701494382283,1.8515661111031871,0.8592974384358968,['watts']
7,4.0,0.81,0.429,2,0.2756208823567599,0.2783680523873795,1.1404134811152502,0.003676598461996266,2.313426894240312,1.0527351633728934,2.335198547736643,2.8468925135159617,0.8420838828493289,['watts']
7,4.571,0.757,0.286,1,0.0,0.0,0.0,0.0,1.8035726586244305,2.6242433591227123,2.974986582580345,2.45425845775144,0.8115112914621766,['gnm']
7,4.857,0.771,0.286,1,0.0,0.0,0.0,0.0,1.109687780686866,2.2294976728751816,1.581211178605983,2.8632159081225907,0.8319408150597761,['gnm']
7,4.857,0.819,0.286,1,0.0,0.0,0.0,0.0,0.19638680276946957,3.141592653589793,3.113530910111032,-0.24504924658010477,0.9038969214954126,['gnm']
7,5.143,0.886,0.286,1,0.0,0.0,0.0,0.0,1.413343296301599,1.9988034180729777,1.7893665108904033,1.3769735492390702,0.8735512981717571,['gnm']
7,5.429,0.886,0.286,1,0.0,0.0,0.0,0.0,1.848689017793646,2.6940761055195703,0.2775551519953308,2.695544692191417,0.9182622248648232,['gnm']
7,5.429,0.924,0.286,1,0.0,0.0,0.0,0.0,1.8974698092615216,1.0672213516542945,3.141592653589793,1.8251796922060273,0.9066332005180204,['gnm']
7,5.714,0.952,0.286,2,0.03782893026654763,0.26397834849918145,0.6110453745049965,0.48469686959231184,2.9991488341259736,2.954931773279596,1.4502977500299177,2.029532302017855,0.9563313822512405,['gnm']
8,1.75,0.0,0.5,8,1.1769977603705688,0.4721830589941724,0.9303209892442796,0.43201067688723926,0.7605711200208318,2.600930654800361,2.214061004741588,1.7034452921269978,0.7705168183530395,['barabasi']
8,1.75,0.0,0.625,7,0.962263084957268,0.5767028608311093,1.0648185733570592,0.8117933011420304,1.505702707583075,2.0415765434616033,1.3822701112449403,2.0282541061546073,0.766572105416113,['barabasi']
8,1.75,0.0,0.75,4,0.6573250536805049,0.2687487284621849,0.9592726245108135,0.6044140129997041,0.8859045239258202,2.316760504582849,1.9229401294950148,1.9319064278079803,0.811596543797415,['barabasi']
8,1.75,0.0,0.875,1,0.0,0.0,0.0,0.0,0.8791979876310139,2.8833907129536316,1.0872487982351735,1.221269100808812,0.9205800795425604,['barabasi']
8,2.0,0.0,0.5,4,0.8886838217181288,0.1851076841858803,0.810969656573336,0.1688683199252261,1.2032812778328816,1.9860883799644617,2.4612451456827,2.130651528989868,0.8504911820987381,"['watts', 'regular']"
8,2.0,0.0,0.625,1,0.0,0.0,0.0,0.0,0.8595904355461905,1.8819919983915634,2.9385313513099636,2.0608542770770244,0.7830529312697365,['watts']
8,2.0,0.125,0.5,1,0.0,0.0,0.0,0.0,1.724319945591751,2.017900916740925,2.1060300731472035,1.224454022230137,0.8256826635015548,['watts']
8,2.0,0.208,0.5,2,1.568216137244025,0.3805487489557593,1.6591981421025246,0.05545193293845778,0.7436226221548838,2.8723778964320044,1.963758277828142,1.976688037878771,0.7255932610042432,['watts']
8,2.0,0.292,0.375,1,0.0,0.0,0.0,0.0,1.8233386386950872,2.5666652605876568,-0.2658409463228646,1.8358617451391432,0.750742331578067,['watts']
8,2.75,0.2,0.5,1,0.0,0.0,0.0,0.0,-0.29139966981912285,3.141592653589793,3.108780571106746,1.963669536646734,0.7273066790046869,['gnm']
8,2.75,0.375,0.375,1,0.0,0.0,0.0,0.0,2.9107122810465933,2.6907764014045545,2.0237290534045043,1.8193944566764215,0.8689961575219564,['gnm']
8,2.75,0.433,0.375,1,0.0,0.0,0.0,0.0,1.92336961470272,2.406042726873418,1.9101002069885396,1.330101682461053,0.7525041391582918,['gnm']
8,3.0,0.0,0.375,1,0.0,0.0,0.0,0.0,2.814405348117175,2.214708045663918,1.7463174367848735,1.8906347102250998,0.8928646972155547,['regular']
